synthetic_fraction,metric,baseline_activity,treatment_activity,n_worlds,mean_difference,std_difference,median_difference,ci95_low,ci95_high,t_statistic,p_raw,cohens_dz,fraction_difference_gt_0,family,p_holm,reject_holm_0_05
0.2,exposure_minus_production,1.0,10.0,10000,-0.01310219638922429,0.04439522201111954,-0.01168697885418414,-0.013972432092073762,-0.012231960686374818,-29.51262725061409,1.2699420844171852e-183,-0.2951262725061409,0.3945,vs_1x,3.4288436279264e-182,True
0.2,exposure_minus_production,1.0,15.0,10000,-0.02073737922382783,0.03982286963962439,-0.01914065849993349,-0.021517987617714035,-0.019956770829941628,-52.07404542035767,0.0,-0.5207404542035767,0.3087,vs_1x,0.0,True
0.25,exposure_minus_production,1.0,2.0,10000,0.003762820460929072,0.0483051781512443,0.003853799339769759,0.0028159417484138333,0.0047096991734443105,7.789683435485156,7.384924115699661e-15,0.07789683435485156,0.5319,vs_1x,1.3292863408259391e-13,True
0.25,exposure_minus_production,1.0,3.0,10000,0.0033901599303521493,0.04947897135696323,0.0037879815005388284,0.0024202725085861066,0.004360047352118192,6.851718694582457,7.72674493224847e-12,0.06851718694582458,0.5334,vs_1x,1.0817442905147858e-10,True
0.25,exposure_minus_production,1.0,5.0,10000,-0.0004124107693622636,0.04867943857547379,0.0008748682252991552,-0.0013666257394424834,0.000541804200717956,-0.847197053685925,0.3969055723490642,-0.00847197053685925,0.5072,vs_1x,1.0,False
0.25,exposure_minus_production,1.0,7.5,10000,-0.006262313880490676,0.046621411350530766,-0.004902610495372023,-0.007176187374901891,-0.005348440386079461,-13.432270064512714,8.822509846313408e-41,-0.13432270064512714,0.4553,vs_1x,1.852727067725816e-39,True
0.25,exposure_minus_production,1.0,10.0,10000,-0.01044349481184963,0.043459884204386144,-0.009133875266022232,-0.011295396011192387,-0.009591593612506874,-24.030194748645076,4.246118069746085e-124,-0.24030194748645076,0.4149,vs_1x,1.1039906981339821e-122,True
0.25,exposure_minus_production,1.0,15.0,10000,-0.016205435768480582,0.039704971150158606,-0.015008758344562986,-0.016983733114686487,-0.015427138422274677,-40.81462673072827,0.0,-0.4081462673072827,0.3506,vs_1x,0.0,True
0.01,exposure_minus_production,3.0,1.0,10000,-0.00039040722532496756,0.014725061239653685,0.0011794955358279992,-0.0006790480618136778,-0.00010176638883625734,-2.651311386560654,0.008030629522721669,-0.026513113865606543,0.5442,vs_3x,0.06424503618177335,False
0.01,exposure_minus_production,3.0,2.0,10000,3.158359453916082e-06,0.016124000287307844,0.0007003107498765506,-0.0003129044979242035,0.0003192212168320357,0.019587939702545243,0.9843724755441072,0.00019587939702545243,0.5224,vs_3x,1.0,False
0.01,exposure_minus_production,3.0,5.0,10000,-0.00043014985060708336,0.019828877471876897,-0.0014737533503331457,-0.0008188357573727449,-4.146394384142184e-05,-2.1693101448488985,0.03008262764191667,-0.02169310144848899,0.466,vs_3x,0.2105783934934167,False
0.01,exposure_minus_production,3.0,7.5,10000,-0.002083674706146813,0.02305435310291088,-0.0035633776289599496,-0.002535586426989802,-0.0016317629853038246,-9.0380966095454,1.8896139294905427e-19,-0.090380966095454,0.4327,vs_3x,3.590266466032031e-18,True
0.01,exposure_minus_production,3.0,10.0,10000,-0.005133168205774634,0.02550045246867931,-0.006546422649562443,-0.00563302839729485,-0.004633308014254418,-20.129714216166946,2.2518251996737455e-88,-0.20129714216166944,0.395,vs_3x,5.179197959249615e-87,True
